abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
attain	find unexpectedly; "the archeologists chanced upon an old tomb"; "she struck a goldmine"; "The hikers finally struck the main path to the lake"
attain	reach a destination, either real or abstract; "We hit Detroit by noon"; "The water reached the doorstep"; "We barely made it to the finish line"; "I have to hit the MAC machine before the weekend starts"
attendance	the act of being present (at a meeting or event etc.)
attendance	the frequency with which a person is present; "a student's attendance is an important factor in her grade"
attendance	the number of people that are present; "attendance was up by 50 per cent"
attorney	a professional person authorized to practice law; conducts lawsuits or gives legal advice
attribute	a construct whereby objects or individuals can be distinguished; "self-confidence is not an endearing property"
attribute	an abstraction belonging to or characteristic of an entity
auction	a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge
auction	the public sale of something to the highest bidder
audio	the audible part of a transmitted signal; "they always raise the audio for commercials"
audio	an audible acoustic wave frequency
audio	a recording of acoustic signals
audio	the sound elements of television
audit	an inspection of the accounting procedures and records by a trained accountant or CPA
audit	a methodical examination or review of a condition or situation; "he made an audit of all the plants on his property"; "an energy efficiency audit"; "an email log audit"
authentic	conforming to fact and therefore worthy of belief; "an authentic account by an eyewitness"; "reliable information"
authentic	not counterfeit or copied; "an authentic signature"; "a bona fide manuscript"; "an unquestionable antique"; "photographs taken in a veritable bull ring"
authorize	grant authorization or clearance for; "Clear the manuscript for publication"; "The rock star never authorized this slanderous biography"
authorize	give or delegate power or authority to; "She authorized her assistant to sign the papers"
auto	a motor vehicle with four wheels; usually propelled by an internal combustion engine; "he needs a car to get to work"
automatic	operating with minimal human intervention; independent of external control; "automatic transmission"; "a budget deficit that caused automatic spending cuts"
automatic	resembling the unthinking functioning of a machine; "an automatic `thank you'"; "machinelike efficiency"
automatic	without volition or conscious control; "the automatic shrinking of the pupils of the eye in strong light"; "a reflex knee jerk"; "sneezing is reflexive"
automatically	in a reflex manner; "he answered automatically"
automatically	in a mechanical manner; by a mechanism; "this door opens mechanically"
autonomy	immunity from arbitrary exercise of authority: political independence
autonomy	personal independence
availability	the quality of being at hand when needed
await	look forward to the probable occurrence of; "We were expecting a visit from our relatives"; "She is looking to a promotion"; "he is waiting to be drafted"
awareness	having knowledge of; "he had no awareness of his mistakes"; "his sudden consciousness of the problem he faced"; "their intelligence and general knowingness was impressive"
